  D1Vb  [ui8 ]  0 (bytes 00)
  D1Vd  [hex_]  0 (bytes 00 00)
  D1Ve  [hex_]  0 (bytes 00 00)
  D1Vm  [ui8 ]  0 (bytes 00)
  D1Vn  [ui8 ]  0 (bytes 00)
  D1WS  [flag]  true (bytes 01)
  D1if  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D1ih  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00)
  D1ii  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1im  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1in  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1is  [ch8*]  (bytes 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1lg  [hex_]  436452256 (bytes 1a 03 bb a0 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00)
  D1li  [ui8 ]  4 (bytes 04)
  D1pd  [flag]  false (bytes 00)
  D1pi  [flag]  false (bytes 00)
  D1pr  [ui8 ]  0 (bytes 00)
  D1pt  [ui8 ]  0 (bytes 00)
